       "yyyy",        "cpi",       "gold",       "infl",      "tbill",    "ltyld10",     "ltrate",  "callmoney",        "aaa",        "baa",   "corprate", "corprate.i", "sp500index",   "sp500d12",   "sp500e12",        "vwm",       "vwmx",       "svar",       "bkmk",       "ntis",       "eqis",        "csp",        "cay",        "ik"

         1802,        0.936,       19.390,      -15.730,             ,        6.600,             ,             ,             ,             ,             ,             ,             ,             ,             ,       12.140,             ,             ,             ,             ,             ,             ,             ,             
         1803,        0.788,       19.390,        5.490,             ,        6.760,             ,             ,             ,             ,             ,             ,             ,             ,             ,       -4.780,             ,             ,             ,             ,             ,             ,             ,             
         1804,        0.832,       19.390,        4.380,             ,        6.900,             ,             ,             ,             ,             ,             ,             ,             ,             ,        0.780,             ,             ,             ,             ,             ,             ,             ,             
         1805,        0.868,       19.390,       -0.700,             ,        7.000,             ,             ,             ,             ,             ,             ,             ,             ,             ,        0.610,             ,             ,             ,             ,             ,             ,             ,             
         1806,        0.862,       19.390,        4.220,             ,        6.730,             ,             ,             ,             ,             ,             ,             ,             ,             ,       10.000,             ,             ,             ,             ,             ,             ,             ,             
         1807,        0.898,       19.390,       -5.400,             ,        6.660,             ,             ,             ,             ,             ,             ,             ,             ,             ,        2.840,             ,             ,             ,             ,             ,             ,             ,             
         1808,        0.850,       19.390,        8.660,             ,        6.520,             ,             ,             ,             ,             ,             ,             ,             ,             ,       12.330,             ,             ,             ,             ,             ,             ,             ,             
         1809,        0.924,       19.390,       -2.050,             ,        6.400,             ,             ,             ,             ,             ,             ,             ,             ,             ,        6.300,             ,             ,             ,             ,             ,             ,             ,             
         1810,        0.905,       19.390,        0.000,             ,        6.370,             ,             ,             ,             ,             ,             ,             ,             ,             ,        3.000,             ,             ,             ,             ,             ,             ,             ,             
         1811,        0.905,       19.390,        6.800,             ,        6.510,             ,             ,             ,             ,             ,             ,             ,             ,             ,       -2.600,             ,             ,             ,             ,             ,             ,             ,             
         1812,        0.966,       19.390,        1.260,        6.000,        6.710,             ,             ,             ,             ,             ,             ,             ,             ,             ,        8.860,             ,             ,             ,             ,             ,             ,             ,             
         1813,        0.978,       19.390,       20.020,        6.000,        6.920,             ,             ,             ,             ,             ,             ,             ,             ,             ,        6.350,             ,             ,             ,             ,             ,             ,             ,             
         1814,        1.174,       20.100,        9.890,        7.000,        8.420,             ,             ,             ,             ,             ,             ,             ,             ,             ,      -12.140,             ,             ,             ,             ,             ,             ,             ,             
         1815,        1.290,       21.640,      -12.290,             ,        8.030,             ,             ,             ,             ,             ,             ,             ,             ,             ,        8.090,             ,             ,             ,             ,             ,             ,             ,             
         1816,        1.131,       20.950,       -8.650,             ,        7.980,             ,             ,             ,             ,             ,             ,             ,             ,             ,        1.250,             ,             ,             ,             ,             ,             ,             ,             
         1817,        1.034,       19.460,       -5.360,             ,        6.410,             ,             ,             ,             ,             ,             ,             ,             ,             ,       17.540,             ,             ,             ,             ,             ,             ,             ,             
         1818,        0.978,       19.390,       -4.340,             ,        6.330,             ,             ,             ,             ,             ,             ,             ,             ,             ,        1.860,             ,             ,             ,             ,             ,             ,             ,             
         1819,        0.936,       19.390,        0.000,             ,        6.460,             ,             ,             ,             ,             ,             ,             ,             ,             ,       -2.580,             ,             ,             ,             ,             ,             ,             ,             
         1820,        0.936,       19.390,       -7.870,             ,        5.630,             ,             ,             ,             ,             ,             ,             ,             ,             ,       10.310,             ,             ,             ,             ,             ,             ,             ,             
         1821,        0.862,       19.390,       -3.520,             ,        4.970,             ,             ,             ,             ,             ,             ,             ,             ,             ,       11.530,             ,             ,             ,             ,             ,             ,             ,             
         1822,        0.832,       19.390,        3.650,             ,        5.050,             ,             ,             ,             ,             ,             ,             ,             ,             ,        0.230,             ,             ,             ,             ,             ,             ,             ,             
         1823,        0.862,       19.390,      -10.650,             ,        5.140,             ,             ,             ,             ,             ,             ,             ,             ,             ,        5.200,             ,             ,             ,             ,             ,             ,             ,             
         1824,        0.770,       19.390,       -7.880,             ,        4.600,             ,             ,             ,             ,             ,             ,             ,             ,             ,       10.430,             ,             ,             ,             ,             ,             ,             ,             
         1825,        0.710,       19.390,        2.570,             ,        4.690,             ,             ,             ,             ,             ,             ,             ,             ,             ,       -0.800,             ,             ,             ,             ,             ,             ,             ,             
         1826,        0.728,       19.390,        0.000,             ,        4.880,             ,             ,             ,             ,             ,             ,             ,             ,             ,        5.240,             ,             ,             ,             ,             ,             ,             ,             
         1827,        0.728,       19.390,        0.830,             ,        4.740,             ,             ,             ,             ,             ,             ,             ,             ,             ,        1.980,             ,             ,             ,             ,             ,             ,             ,             
         1828,        0.734,       19.390,       -4.960,             ,        4.860,             ,             ,             ,             ,             ,             ,             ,             ,             ,        5.240,             ,             ,             ,             ,             ,             ,             ,             
         1829,        0.697,       19.390,       -1.850,             ,        4.880,             ,             ,             ,             ,             ,             ,             ,             ,             ,        4.120,             ,             ,             ,             ,             ,             ,             ,             
         1830,        0.684,       19.390,       -0.890,             ,        4.740,             ,             ,             ,             ,             ,             ,             ,             ,             ,       12.880,             ,             ,             ,             ,             ,             ,             ,             
         1831,        0.678,       19.390,       -6.260,             ,        4.780,             ,             ,             ,             ,             ,             ,             ,             ,             ,        8.260,             ,             ,             ,             ,             ,             ,             ,             
         1832,        0.636,       19.390,       -0.960,        5.380,        4.830,             ,             ,             ,             ,             ,             ,             ,             ,             ,       10.190,             ,             ,             ,             ,             ,             ,             ,             
         1833,        0.630,       19.390,       -1.930,        8.680,        4.980,             ,             ,             ,             ,             ,             ,             ,             ,             ,        4.230,             ,             ,             ,             ,             ,             ,             ,             
         1834,        0.618,       19.940,        1.970,        9.900,        4.890,             ,             ,             ,             ,             ,             ,             ,             ,             ,       19.480,             ,             ,             ,             ,             ,             ,             ,             
         1835,        0.630,       20.650,        2.890,        7.760,        4.810,             ,             ,             ,             ,             ,             ,             ,             ,             ,        8.600,             ,             ,             ,             ,             ,             ,             ,             
         1836,        0.648,       20.650,        5.620,       15.040,        5.070,             ,             ,             ,             ,             ,             ,             ,             ,             ,       -7.200,             ,             ,             ,             ,             ,             ,             ,             
         1837,        0.684,       20.650,        2.770,        8.130,        5.190,             ,             ,             ,             ,             ,             ,             ,             ,             ,       -2.890,             ,             ,             ,             ,             ,             ,             ,             
         1838,        0.704,       20.650,       -2.700,        7.280,        4.890,             ,             ,             ,             ,             ,             ,             ,             ,             ,        2.350,             ,             ,             ,             ,             ,             ,             ,             
         1839,        0.684,       20.650,        0.000,        9.080,        5.150,             ,             ,             ,             ,             ,             ,             ,             ,             ,       -7.230,             ,             ,             ,             ,             ,             ,             ,             
         1840,        0.684,       20.650,       -7.100,        4.390,        5.250,             ,             ,             ,             ,             ,             ,             ,             ,             ,       11.220,             ,             ,             ,             ,             ,             ,             ,             
         1841,        0.636,       20.650,        0.960,        5.480,        5.790,             ,             ,             ,             ,             ,             ,             ,             ,             ,       -8.320,             ,             ,             ,             ,             ,             ,             ,             
         1842,        0.642,       20.650,       -6.620,        5.250,        6.650,             ,             ,             ,             ,             ,             ,             ,             ,             ,      -14.530,             ,             ,             ,             ,             ,             ,             ,             
         1843,        0.600,       20.650,       -9.240,        2.780,        5.480,             ,             ,             ,             ,             ,             ,             ,             ,             ,       54.520,             ,             ,             ,             ,             ,             ,             ,             
         1844,        0.544,       20.650,        1.120,        4.210,        5.270,             ,             ,             ,             ,             ,             ,             ,             ,             ,       22.170,             ,             ,             ,             ,             ,             ,             ,             
         1845,        0.550,       20.650,        1.100,        5.690,        5.630,             ,             ,             ,             ,             ,             ,             ,             ,             ,       13.980,             ,             ,             ,             ,             ,             ,             ,             
         1846,        0.556,       20.650,        1.090,        7.320,        6.010,             ,             ,             ,             ,             ,             ,             ,             ,             ,       -9.970,             ,             ,             ,             ,             ,             ,             ,             
         1847,        0.562,       20.650,        7.690,        9.520,        6.320,             ,             ,             ,             ,             ,             ,             ,             ,             ,        6.390,             ,             ,             ,             ,             ,             ,             ,             
         1848,        0.606,       20.650,       -4.140,       11.000,        6.240,             ,             ,             ,             ,             ,             ,             ,             ,             ,        1.570,             ,             ,             ,             ,             ,             ,             ,             
         1849,        0.581,       20.650,       -3.140,        5.920,        5.630,             ,             ,             ,             ,             ,             ,             ,             ,             ,        5.170,             ,             ,             ,             ,             ,             ,             ,             
         1850,        0.562,       20.650,        2.160,        6.290,        4.980,             ,             ,             ,             ,             ,             ,             ,             ,             ,       24.690,             ,             ,             ,             ,             ,             ,             ,             
         1851,        0.575,       20.650,       -2.110,        6.630,        4.860,             ,             ,             ,             ,             ,             ,             ,             ,             ,        1.860,             ,             ,             ,             ,             ,             ,             ,             
         1852,        0.562,       20.650,        1.080,        5.560,        4.760,             ,             ,             ,             ,             ,             ,             ,             ,             ,       25.490,             ,             ,             ,             ,             ,             ,             ,             
         1853,        0.568,       20.650,        0.000,        8.700,        4.340,             ,             ,             ,             ,             ,             ,             ,             ,             ,       -8.060,             ,             ,             ,             ,             ,             ,             ,             
         1854,        0.568,       20.650,        8.680,        7.480,        4.480,             ,             ,             ,             ,             ,             ,             ,             ,             ,      -26.220,             ,             ,             ,             ,             ,             ,             ,             
         1855,        0.618,       20.650,        2.950,        6.540,        4.530,             ,             ,             ,             ,             ,             ,             ,             ,             ,        6.720,             ,             ,             ,             ,             ,             ,             ,             
         1856,        0.636,       20.650,       -1.910,        7.550,        4.450,             ,             ,             ,             ,             ,             ,             ,             ,             ,        9.910,             ,             ,             ,             ,             ,             ,             ,             
         1857,        0.624,       20.650,        2.920,        6.800,        5.210,             ,        7.000,             ,             ,             ,             ,             ,             ,             ,      -26.960,             ,             ,             ,             ,             ,             ,             ,             
         1858,        0.642,       20.650,       -5.670,        2.890,        5.270,             ,        4.000,             ,             ,             ,             ,             ,             ,             ,       20.060,             ,             ,             ,             ,             ,             ,             ,             
         1859,        0.606,       20.650,        1.000,        5.450,        4.850,             ,        5.810,             ,             ,             ,             ,             ,             ,             ,       -5.920,             ,             ,             ,             ,             ,             ,             ,             
         1860,        0.612,       20.650,        0.000,        5.690,        4.800,             ,        7.250,             ,             ,             ,             ,             ,             ,             ,       19.460,             ,             ,             ,             ,             ,             ,             ,             
         1861,        0.612,       20.650,        5.960,        4.610,        4.920,             ,        6.500,             ,             ,             ,             ,             ,             ,             ,        3.580,             ,             ,             ,             ,             ,             ,             ,             
         1862,        0.648,       20.650,       14.170,        3.950,        5.240,             ,        6.000,             ,             ,             ,             ,             ,             ,             ,       62.380,             ,             ,             ,             ,             ,             ,             ,             
         1863,        0.740,       20.650,       24.820,        5.060,        4.410,             ,        7.000,             ,             ,             ,             ,             ,             ,             ,       39.900,             ,             ,             ,             ,             ,             ,             ,             
         1864,        0.924,       20.650,       25.140,        6.220,        4.680,             ,        6.600,             ,             ,             ,             ,             ,             ,             ,       10.350,             ,             ,             ,             ,             ,             ,             ,             
         1865,        1.156,       20.650,        3.680,        5.630,        5.160,             ,        6.800,             ,             ,             ,             ,             ,             ,             ,       -3.260,             ,             ,             ,             ,             ,             ,             ,             
         1866,        1.198,       20.650,       -2.530,        4.970,        5.760,             ,        6.380,             ,             ,             ,             ,             ,             ,             ,        8.860,             ,             ,             ,             ,             ,             ,             ,             
         1867,        1.168,       20.650,       -6.820,        5.870,        5.260,             ,        6.500,             ,             ,             ,             ,             ,             ,             ,        7.690,             ,             ,             ,             ,             ,             ,             ,             
         1868,        1.088,       20.650,       -3.900,        6.460,        5.370,             ,       11.400,             ,             ,             ,             ,             ,             ,             ,       16.310,             ,             ,             ,             ,             ,             ,             ,             
         1869,        1.046,       20.650,       -4.140,        7.160,        5.320,             ,        7.960,             ,             ,             ,             ,             ,             ,             ,        5.410,             ,             ,             ,             ,             ,             ,             ,             
         1870,        1.002,       20.650,       -4.240,        5.010,        5.520,             ,       11.450,             ,             ,             ,             ,             ,             ,             ,       10.810,             ,             ,             ,             ,             ,             ,             ,             
