date,lnsp500_rf,sp500_rf,recessionD,dp,dy,ep,de,rvol,bm,ntis,tbl,lty,ltr,tms,dfy,dfr,infl,ma_1_9,ma_1_12,ma_2_9,ma_2_12,ma_3_9,ma_3_12,mom_9,mom_12,vol_1_9,vol_1_12,vol_2_9,vol_2_12,vol_3_9,vol_3_12,sento ,sent,dsento,dsent,ewsi
192701,-0.0052,-0.0052,1,-2.942,-2.963,-2.375,-0.568,NaN,0.444,0.072,3.23,3.51,0.75,0.28,0.95,-0.19,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192702,0.042,0.0431,1,-2.98,-2.933,-2.43,-0.549,NaN,0.429,0.073,3.29,3.47,0.88,0.18,0.92,-0.19,-0.759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192703,0.0046,0.0046,1,-2.977,-2.97,-2.445,-0.531,NaN,0.47,0.059,3.2,3.31,2.53,0.11,0.92,-1.7,-0.765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192704,0.0105,0.0106,1,-2.984,-2.967,-2.471,-0.513,NaN,0.457,0.061,3.39,3.33,-0.05,-0.06,0.9,0.6,-0.577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192705,0.0584,0.0604,1,-3.026,-2.975,-2.531,-0.495,NaN,0.435,0.056,3.33,3.27,1.09,-0.06,0.93,-1.2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192706,-0.0234,-0.0232,1,-3.007,-3.017,-2.531,-0.476,NaN,0.452,0.057,3.07,3.34,-0.69,0.27,0.97,1.12,0.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192707,0.0785,0.0819,1,-3.061,-2.998,-2.604,-0.457,NaN,0.415,0.054,2.96,3.33,0.5,0.37,0.95,-0.47,0.953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192708,0.0305,0.031,1,-3.096,-3.052,-2.657,-0.439,NaN,0.396,0.045,2.7,3.29,0.76,0.59,0.92,0.07,-1.916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192709,0.0494,0.0507,1,-3.129,-3.087,-2.708,-0.421,NaN,0.381,0.086,2.68,3.3,0.18,0.62,0.88,1.31,-0.582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192710,-0.0504,-0.0492,1,-3.066,-3.12,-2.663,-0.403,NaN,0.414,0.086,3.08,3.25,0.99,0.17,0.87,-0.44,0.582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192711,0.0655,0.0679,1,-3.123,-3.057,-2.738,-0.384,NaN,0.379,0.074,3.04,3.2,0.97,0.16,0.86,-0.29,0.579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192712,0.0165,0.0167,0,-3.133,-3.114,-2.767,-0.366,0.161,0.375,0.068,3.17,3.16,0.72,-0.01,0.86,-0.04,-0.192,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192801,-0.0101,-0.01,0,-3.119,-3.124,-2.741,-0.378,0.163,0.379,0.051,3.31,3.21,-0.36,-0.1,0.89,0.63,-0.193,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192802,-0.015,-0.0149,0,-3.093,-3.11,-2.704,-0.388,0.152,0.386,0.044,3.33,3.18,0.61,-0.15,0.87,0.07,-0.193,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192803,0.098,0.1032,0,-3.187,-3.084,-2.788,-0.399,0.188,0.363,0.041,3.27,3.17,0.45,-0.1,0.86,-0.04,-0.972,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192804,0.0316,0.0322,0,-3.21,-3.179,-2.801,-0.41,0.196,0.368,0.037,3.62,3.19,-0.04,-0.43,0.87,0.18,0,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192805,0.0095,0.0096,0,-3.215,-3.202,-2.795,-0.42,0.177,0.354,0.039,3.9,3.27,-0.77,-0.63,0.93,-0.01,0.195,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192806,-0.0382,-0.0376,0,-3.165,-3.206,-2.735,-0.43,0.183,0.37,0.04,3.92,3.26,0.41,-0.66,0.98,-0.65,0.583,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
