,count,mean,std,min,25%,50%,75%,max
ym,444.0,199206.5,1068.917820507144,197401.0,198303.75,199206.5,200109.25,201012.0
lnsp500_rf,444.0,0.38511261261261265,4.598584700905065,-24.84,-2.1100000000000003,0.84,3.3775,14.87
sp500_rf,444.0,0.4923873873873874,4.57654937914969,-22.11,-2.0975,0.8500000000000001,3.4525000000000006,16.14
recessionD,444.0,0.17342342342342343,0.3790400027621057,0.0,0.0,0.0,0.0,1.0
dp,444.0,-3.586078828828829,0.46099358354042463,-4.524,-4.021,-3.5185,-3.1795,-2.753
dy,444.0,-3.5804346846846844,0.46172061438369083,-4.531000000000001,-4.01275,-3.5180000000000002,-3.1739999999999995,-2.7510000000000003
ep,444.0,-2.8186126126126125,0.5213475623262254,-4.836,-3.127,-2.8375,-2.42,-1.899
de,444.0,-0.7674504504504506,0.3515754670788555,-1.206,-0.93825,-0.847,-0.6145,1.379
rvol,444.0,0.15167117117117118,0.05485243884626942,0.055,0.10875000000000001,0.1455,0.187,0.316
bm,444.0,0.5025990990990991,0.3049174059785904,0.121,0.2665,0.3965,0.7665,1.207
ntis,444.0,0.008912162162162163,0.019838261042328695,-0.057999999999999996,-0.001,0.012,0.023,0.046
tbl,444.0,5.554572072072072,3.209967623126556,0.03,3.6275000000000004,5.2,7.452500000000001,16.3
lty,444.0,7.622414414414414,2.5156812700046585,3.03,5.52,7.595,8.8375,14.82
ltr,444.0,0.7604774774774774,3.1591112827118093,-11.24,-1.065,0.835,2.475,15.23
tms,444.0,2.0678423423423427,1.528700025319883,-3.65,0.99,2.205,3.2624999999999997,4.55
dfy,444.0,1.125833333333333,0.48787092542967625,0.55,0.78,0.97,1.32,3.38
dfr,444.0,-0.013270270270270274,1.4132237258302693,-9.75,-0.5325,0.05,0.5425,7.37
infl,444.0,0.3534572072072072,0.3752272334465449,-1.915,0.14575,0.3155,0.5467500000000001,1.4280000000000002
ma_1_9,444.0,0.6711711711711712,0.47031757915458644,0.0,0.0,1.0,1.0,1.0
ma_1_12,444.0,0.7094594594594594,0.45452396219869395,0.0,0.0,1.0,1.0,1.0
ma_2_9,444.0,0.6846846846846847,0.4651654620926065,0.0,0.0,1.0,1.0,1.0
ma_2_12,444.0,0.704954954954955,0.45657746073403205,0.0,0.0,1.0,1.0,1.0
ma_3_9,444.0,0.6936936936936937,0.46147849144242703,0.0,0.0,1.0,1.0,1.0
ma_3_12,444.0,0.7117117117117117,0.453476909248357,0.0,0.0,1.0,1.0,1.0
mom_9,444.0,0.7094594594594594,0.45452396219869395,0.0,0.0,1.0,1.0,1.0
mom_12,444.0,0.722972972972973,0.4480347749212903,0.0,0.0,1.0,1.0,1.0
vol_1_9,444.0,0.6644144144144144,0.472727420272544,0.0,0.0,1.0,1.0,1.0
vol_1_12,444.0,0.6914414414414415,0.46241948229019214,0.0,0.0,1.0,1.0,1.0
vol_2_9,444.0,0.6711711711711712,0.47031757915458655,0.0,0.0,1.0,1.0,1.0
vol_2_12,444.0,0.6846846846846847,0.4651654620926065,0.0,0.0,1.0,1.0,1.0
vol_3_9,444.0,0.6801801801801802,0.4669327066755965,0.0,0.0,1.0,1.0,1.0
vol_3_12,444.0,0.6801801801801802,0.4669327066755965,0.0,0.0,1.0,1.0,1.0
sento ,444.0,0.00013220720720719516,0.9285271677691561,-2.5779,-0.3268,0.008,0.41825,2.4966
sent,444.0,0.004871171171171165,0.9452884505735749,-2.5479,-0.366975,0.04265,0.53645,2.3205
dsento,444.0,0.005640765765765762,0.9946916239489833,-3.5268,-0.5026250000000001,0.0072,0.53135,4.3673
dsent,444.0,-0.0003265765765765676,0.9857464532206099,-3.6157,-0.563425,-0.0036,0.49777499999999997,5.4157
ewsi,444.0,1.9074536036036038,1.896128749238568,0.2067,0.4675,1.25445,2.76735,8.9241
recessionD_c,444.0,0.17117117117117117,0.377083350537784,0.0,0.0,0.0,0.0,1.0
