,count,mean,std,min,25%,50%,75%,max
ym,732.0,198106.5,1761.8889576367767,195101.0,196603.75,198106.5,199609.25,201112.0
lnsp500_rf,732.0,0.4591256830601092,4.2589260960606135,-24.84,-1.9625,0.8200000000000001,3.255,14.87
sp500_rf,732.0,0.5517076502732244,4.248481561117268,-22.11,-1.9525,0.83,3.3274999999999997,16.14
recessionD,732.0,0.16530054644808742,0.37170556335268296,0.0,0.0,0.0,0.0,1.0
dp,732.0,-3.4894043715847003,0.416220428397097,-4.524,-3.73775,-3.4515000000000002,-3.202,-2.5980000000000003
dy,732.0,-3.483728142076505,0.4172691181521084,-4.531000000000001,-3.7327500000000002,-3.447,-3.198,-2.5860000000000003
ep,732.0,-2.7777267759562814,0.43598573213516145,-4.836,-2.96025,-2.8169999999999997,-2.4835,-1.899
de,732.0,-0.7116693989071036,0.2974802939697388,-1.244,-0.8862499999999999,-0.6729999999999999,-0.57475,1.379
rvol,732.0,0.14343852459016398,0.049244139465438916,0.053,0.107,0.13699999999999998,0.17225000000000001,0.316
bm,732.0,0.5370464480874306,0.249868327625086,0.121,0.31575,0.5245,0.7100000000000001,1.207
ntis,732.0,0.01518032786885241,0.01821877223430439,-0.057999999999999996,0.008,0.018000000000000002,0.027000000000000003,0.051
tbl,732.0,4.681065573770489,2.951901140015945,0.01,2.6075,4.58,6.102499999999999,16.3
lty,732.0,6.320833333333334,2.674817495510849,2.21,4.22,5.94,7.97,14.82
ltr,732.0,0.5513948087431696,2.7556288948047283,-11.24,-0.8724999999999999,0.3,2.045,15.23
tms,732.0,1.639767759562841,1.425574614997861,-3.65,0.6475000000000001,1.495,2.7950000000000004,4.55
dfy,732.0,0.9623224043715831,0.45331346138366474,0.32,0.67,0.83,1.15,3.38
dfr,732.0,0.005857923497267772,1.3745454392144252,-9.75,-0.5325,0.07,0.55,7.37
infl,732.0,0.30362568306010906,0.34943383059746397,-1.915,0.10775000000000001,0.273,0.48925,1.7919999999999998
ma_1_9,732.0,0.6762295081967213,0.4682335659562777,0.0,0.0,1.0,1.0,1.0
ma_1_12,732.0,0.703551912568306,0.4570032119601487,0.0,0.0,1.0,1.0,1.0
ma_2_9,732.0,0.6816939890710383,0.4661374588889151,0.0,0.0,1.0,1.0,1.0
ma_2_12,732.0,0.7021857923497268,0.4576100747163029,0.0,0.0,1.0,1.0,1.0
ma_3_9,732.0,0.6871584699453552,0.46396744074388446,0.0,0.0,1.0,1.0,1.0
ma_3_12,732.0,0.7076502732240437,0.455153134089924,0.0,0.0,1.0,1.0,1.0
mom_9,732.0,0.7021857923497268,0.45761007471630283,0.0,0.0,1.0,1.0,1.0
mom_12,732.0,0.7213114754098361,0.4486604793112147,0.0,0.0,1.0,1.0,1.0
vol_1_9,732.0,0.6653005464480874,0.472207949218097,0.0,0.0,1.0,1.0,1.0
vol_1_12,732.0,0.6939890710382514,0.4611493876677411,0.0,0.0,1.0,1.0,1.0
vol_2_9,732.0,0.662568306010929,0.4731568337335438,0.0,0.0,1.0,1.0,1.0
vol_2_12,732.0,0.6885245901639344,0.4634132667022422,0.0,0.0,1.0,1.0,1.0
vol_3_9,732.0,0.680327868852459,0.4666683753149743,0.0,0.0,1.0,1.0,1.0
vol_3_12,732.0,0.6912568306010929,0.4622907982006797,0.0,0.0,1.0,1.0,1.0
sento ,546.0,1.2820512822072277e-06,0.9999998221734723,-2.5779,-0.462975,-0.0139,0.44672500000000004,2.6915
sent,546.0,7.93016446160826e-18,1.0000012092836716,-2.5479,-0.50485,0.0152,0.54495,2.4217
dsento,545.0,5.504587155960659e-07,0.9999977371020676,-3.5268,-0.5736,-0.0034,0.5523,4.3673
dsent,545.0,5.504587156219372e-07,1.000000101424475,-3.6157,-0.5963,-0.0044,0.531,5.4157
ewsi,467.0,1.9515751605995713,1.9312038321616727,0.2067,0.4465,1.2554,2.9816000000000003,8.9241
recessionD_c,732.0,0.16530054644808742,0.37170556335268296,0.0,0.0,0.0,0.0,1.0
